Geography,TotalPop,MalePop,FemalePop,MedianAge,MaleMedianAge,FemaleMedianAge,Under5yoPop,Under18yoPop,Pop21andOlder,Pop55andOlder,Pop60andOlder,Pop65andOlder,PercFemale,PercUnder18yo
California,39538223,19549003,19989220,37.5,36.3,38.7,2137439,8711118,29188764,10887954,8367217,6017164,50.6,22
Alameda County,1682353,824426,857927,37.7,36.9,38.5,89533,343965,1270547,440539,335671,240483,51,20.4
Alameda city,78280,37328,40952,41.4,40,42.9,4118,15609,60466,23747,18623,13711,52.3,19.9
Albany city,20271,9657,10614,36.3,34.6,37.8,1057,4382,14403,5046,3992,3036,52.4,21.6
Ashland CDP,23823,11657,12166,34.5,33.7,35.3,1508,5685,17212,5152,3718,2439,51.1,23.9
Berkeley city,124321,60913,63408,31.3,30.9,31.7,4097,15394,92716,30312,24485,18926,51,12.4
Castro Valley CDP,66441,32275,34166,40.9,40,41.9,3520,14316,49881,20782,15958,11229,51.4,21.5
Cherryland CDP,15808,7935,7873,35.2,34.9,35.4,982,3733,11417,3612,2689,1831,49.8,23.6
Dublin city,72589,34737,37852,36.4,36,36.8,4900,19085,51517,12580,8868,5972,52.1,26.3
Emeryville city,12905,6278,6627,35,34.7,35.4,578,1395,11292,2652,2067,1508,51.4,10.8
Fairview CDP,11341,5631,5710,41.3,40.3,42.6,617,2163,8836,3731,2895,2069,50.3,19.1
Fremont city,230504,115285,115219,38,37.4,38.5,13494,54013,169599,57410,42790,30066,50,23.4
Hayward city,162954,80326,82628,36.2,35.5,36.9,9387,34564,121480,41032,30644,21240,50.7,21.2
Livermore city,87955,43572,44383,39.9,38.9,40.9,5000,19538,65439,25538,18647,12797,50.5,22.2
Newark city,47529,23924,23605,36.8,36,37.7,3179,9786,36166,12271,9099,6328,49.7,20.6
Oakland city,440646,214508,226138,37.2,36.6,37.7,23210,84252,343201,109149,84326,61534,51.3,19.1
Piedmont city,11270,5531,5739,45.7,44.8,46.5,487,2986,7886,3898,3107,2382,50.9,26.5
Pleasanton city,79871,39043,40828,41.4,40.5,42.2,3543,19151,57861,23223,17197,12408,51.1,24
San Leandro city,91008,43854,47154,40.7,39.1,42.3,4562,17334,70566,28429,21761,15346,51.8,19
San Lorenzo CDP,29581,14479,15102,39.4,38,40.6,1543,6293,22196,8501,6487,4479,51.1,21.3
Sunol CDP,922,464,458,51.7,51.5,52.2,27,132,759,428,335,247,49.7,14.3
Union City city,70143,34908,35235,39.6,37.8,41.4,3580,13409,54331,21226,16556,11881,50.2,19.1
Alpine County,1204,633,571,50.1,50.4,49,52,195,979,529,418,301,47.4,16.2
Alpine Village CDP,224,106,118,55,55.5,54.5,3,28,194,112,84,68,52.7,12.5
Bear Valley CDP,128,76,52,54,56,48,9,25,98,64,52,40,40.6,19.5
Kirkwood CDP (part),108,75,33,32,29.8,48.8,1,6,98,31,23,15,30.6,5.6
Markleeville CDP,191,110,81,57.6,58.8,46.9,6,26,155,105,83,56,42.4,13.6
Mesa Vista CDP,217,109,108,55.5,55.8,54.5,6,25,191,110,97,64,49.8,11.5
Amador County,40474,22067,18407,51.6,49.8,54.2,1648,6432,33133,18513,15109,11480,45.5,15.9
Amador City city,200,96,104,46.5,40.6,53,15,31,166,85,71,58,52,15.5
Amador Pines CDP,1118,550,568,61.6,60.3,62.9,34,122,980,692,595,446,50.8,10.9
Buckhorn CDP,2597,1394,1203,59.5,60.5,58.4,71,355,2195,1488,1280,948,46.3,13.7
Buena Vista CDP,542,284,258,41.3,42.3,40.3,33,127,390,203,157,102,47.6,23.4
Camanche North Shore CDP,1070,559,511,41,40.6,41.6,67,258,787,374,288,201,47.8,24.1
Camanche Village CDP,964,467,497,45.5,43.4,48.4,57,245,697,313,220,162,51.6,25.4
Drytown CDP,186,98,88,51.5,49.5,56.5,10,22,162,89,74,62,47.3,11.8
Fiddletown CDP,279,124,155,57.1,57.6,56.4,8,44,229,150,130,98,55.6,15.8
Ione city,5141,2641,2500,43.6,41.5,45.7,304,1087,3903,1845,1501,1139,48.6,21.1
Jackson city,5019,2312,2707,49.2,43.3,54.1,249,973,3925,2184,1873,1527,53.9,19.4
Kirkwood CDP (part),82,46,36,56,58,49.5,1,5,74,46,25,15,43.9,6.1
Lockwood CDP,495,297,198,61.1,61.5,59.7,10,47,438,299,260,183,40,9.5
Martell CDP,207,106,101,53.9,53.4,54.3,17,49,151,95,65,60,48.8,23.7
Pine Grove CDP,2891,1474,1417,55.7,53,58.5,131,452,2373,1472,1216,901,49,15.6
Pioneer CDP,1066,546,520,56.8,55.3,58.6,27,154,903,574,450,355,48.8,14.4
Plymouth city,1078,530,548,46.8,44.5,48.2,50,215,826,430,342,251,50.8,19.9
Red Corral CDP,1687,805,882,50.9,50.3,51.6,65,291,1304,774,644,530,52.3,17.2
River Pines CDP,390,185,205,53.8,43.2,56.8,19,86,300,189,151,95,52.6,22.1
Sutter Creek city,2646,1234,1412,49.2,45.6,52.6,123,494,2075,1171,969,767,53.4,18.7
Volcano CDP,104,38,66,55.5,52,60,1,17,85,53,48,41,63.5,16.3
Butte County,211632,104641,106991,37.9,36.9,39,11199,43293,156699,66939,54054,40155,50.6,20.5
Bangor CDP,695,353,342,45.5,46.8,43,46,154,519,252,205,139,49.2,22.2
Berry Creek CDP,1637,905,732,55.5,53.6,56.3,71,216,1382,836,671,481,44.7,13.2
Biggs city,1964,966,998,35.4,33.1,37,133,543,1335,540,400,271,50.8,27.6
Butte Creek Canyon CDP,780,375,405,58.4,60.4,56.9,22,122,643,431,365,277,51.9,15.6
Butte Meadows CDP,74,38,36,40.3,44,32.5,3,9,62,29,27,21,48.6,12.2
Butte Valley CDP,945,452,493,48.7,43,52,55,189,733,389,322,217,52.2,20
Cherokee CDP,88,51,37,45.5,39.5,57.1,6,22,61,35,21,13,42,25
Chico city,101475,49182,52293,33.2,32,34.4,5247,19373,73970,26278,21276,15999,51.5,19.1
Clipper Mills CDP,160,78,82,60.1,64.3,54,6,27,132,88,81,63,51.3,16.9
Cohasset CDP,830,445,385,50.3,51.3,49.4,35,146,672,359,294,226,46.4,17.6
Concow CDP,402,249,153,50.3,50.8,50.1,21,55,333,177,148,103,38.1,13.7
Durham CDP,5834,2952,2882,45.3,44.4,45.9,273,1269,4399,2161,1746,1341,49.4,21.8
Forbestown CDP,396,225,171,48.2,44.1,54,21,96,289,154,121,85,43.2,24.2
Forest Ranch CDP,1304,690,614,51.8,51,53,57,238,1038,594,481,350,47.1,18.3
Gridley city,7421,3638,3783,36.1,34.2,37.4,495,1980,5175,2009,1590,1169,51,26.7
Honcut CDP,306,168,138,45.3,43.7,47,16,65,224,115,85,63,45.1,21.2
Kelly Ridge CDP,3006,1485,1521,55.3,54.4,56.9,115,457,2470,1514,1326,1024,50.6,15.2
Magalia CDP,7795,3971,3824,49.6,48.4,50.8,326,1407,6168,3374,2741,2001,49.1,18.1
Nord CDP,286,156,130,47.2,51.4,41.6,15,57,218,110,84,61,45.5,19.9
Oroville city,20042,9940,10102,34.7,33.8,35.9,1381,5151,14158,5474,4270,3089,50.4,25.7
Oroville East CDP,8038,3962,4076,48.6,47,50,414,1590,6246,3475,2863,2191,50.7,19.8
Palermo CDP,5555,2820,2735,42.8,42.7,43,275,1222,4105,1963,1548,1148,49.2,22
Paradise town,4764,2395,2369,55.6,54.4,56.3,167,687,3968,2432,2029,1497,49.7,14.4
Rackerby CDP,210,127,83,52.5,51.3,58.8,8,44,165,104,94,69,39.5,21
Richvale CDP,234,130,104,39,33.7,48,17,58,171,84,71,58,44.4,24.8
Robinson Mill CDP,89,44,45,52.5,44.6,57.8,1,5,81,42,37,29,50.6,5.6
South Oroville CDP,3235,1652,1583,33.8,33,35.5,204,896,2220,844,654,413,48.9,27.7
Stirling City CDP,284,156,128,46,49,43,13,67,212,126,95,69,45.1,23.6
Thermalito CDP,7198,3625,3573,38.5,37.4,39.2,447,1661,5284,2287,1761,1256,49.6,23.1
Yankee Hill CDP,260,124,136,47.5,46,51,8,39,209,104,88,63,52.3,15
Calaveras County,45292,22754,22538,51.6,50.2,52.9,1962,7955,36068,20737,17125,12762,49.8,17.6
Angels city,3667,1732,1935,51.6,49.2,54.2,171,669,2903,1694,1447,1122,52.8,18.2
Arnold CDP,3288,1668,1620,57.3,57.4,57.2,128,509,2706,1760,1507,1162,49.3,15.5
Avery CDP,636,297,339,56,55.5,56.1,39,99,518,323,258,170,53.3,15.6
Copperopolis CDP,3400,1687,1713,51.1,51.1,51,152,620,2689,1483,1244,882,50.4,18.2
Dorrington CDP,519,306,213,61,61.2,60.9,15,43,462,328,269,215,41,8.3
Forest Meadows CDP,1276,642,634,58.6,57.3,59.2,46,190,1053,683,603,491,49.7,14.9
Mokelumne Hill CDP,691,367,324,53.3,48.6,58.7,45,122,555,330,286,226,46.9,17.7
Mountain Ranch CDP,223,102,121,59.9,51.3,65.5,10,27,194,127,111,96,54.3,12.1
Murphys CDP,1995,904,1091,60.9,57.5,62.6,45,269,1689,1155,1036,837,54.7,13.5
Rail Road Flat CDP,316,145,171,58.3,61.6,56.6,11,41,263,183,143,108,54.1,13
Rancho Calaveras CDP,5590,2866,2724,45.6,43.7,47.8,259,1133,4269,2094,1650,1170,48.7,20.3
San Andreas CDP,2994,1478,1516,46.2,42.5,49.7,156,605,2296,1195,1020,770,50.6,20.2
Vallecito CDP,442,238,204,44.6,46,43,25,100,327,183,156,112,46.2,22.6
Valley Springs CDP,3779,1871,1908,44.5,42.8,46.4,183,812,2836,1423,1125,831,50.5,21.5
Wallace CDP,479,249,230,46.3,49.3,41.8,36,98,371,186,160,109,48,20.5
West Point CDP,688,335,353,54,56.3,50.3,38,125,549,337,283,197,51.3,18.2
Colusa County,21839,10996,10843,35.5,34.3,36.4,1407,6106,14851,5924,4596,3251,49.6,28
Arbuckle CDP,3484,1775,1709,32.8,31.2,34,234,1085,2255,746,538,349,49.1,31.1
College City CDP,292,132,160,39.6,39.6,38.5,13,72,202,87,77,62,54.8,24.7
Colusa city,6411,3189,3222,36.3,34.5,37.3,419,1780,4390,1799,1394,992,50.3,27.8
Grimes CDP,296,144,152,35.7,33.8,39,25,71,211,97,78,59,51.4,24
Lodoga CDP,184,88,96,58.3,59,57,3,28,155,108,84,67,52.2,15.2
Maxwell CDP,1067,573,494,34.5,33.9,35.1,57,295,731,282,215,156,46.3,27.6
Princeton CDP,309,166,143,45.5,42.4,49.3,11,58,236,123,100,58,46.3,18.8
Stonyford CDP,133,63,70,58.1,54.8,58.6,8,26,105,74,57,36,52.6,19.5
Williams city,5538,2728,2810,30.6,29.9,31.2,436,1757,3517,1121,846,607,50.7,31.7
Contra Costa County,1165927,568066,597861,40.1,38.8,41.2,62032,263255,859415,346492,266139,192799,51.3,22.6
Acalanes Ridge CDP,1285,641,644,47.6,47.4,47.9,59,268,978,483,404,305,50.1,20.9
Alamo CDP,15314,7553,7761,49.6,49.3,49.9,552,3407,11315,6367,4995,3720,50.7,22.2
Alhambra Valley CDP,805,393,412,53.1,51.5,54.3,24,142,644,383,299,223,51.2,17.6
Antioch city,115291,56110,59181,36.2,35,37.5,6745,28059,82254,30180,22123,14998,51.3,24.3
Bay Point CDP,23896,11862,12034,33.2,32.5,33.9,1498,6467,16260,4787,3463,2209,50.4,27.1
Bayview CDP,1782,880,902,45.3,40.4,48.3,71,310,1390,667,543,401,50.6,17.4
Bethel Island CDP,2131,1099,1032,54.6,55.2,53.6,70,288,1803,1048,808,559,48.4,13.5
Blackhawk CDP,9637,4662,4975,50.3,50,50.6,326,1960,7316,4069,3185,2397,51.6,20.3
Brentwood city,64292,31064,33228,39.3,38.2,40.3,3539,16822,44650,17932,13908,10426,51.7,26.2
Byron CDP,1140,599,541,39.4,42.1,37.5,56,261,828,335,255,167,47.5,22.9
Camino Tassajara CDP,4951,2397,2554,40.8,40.3,41.2,219,1614,3160,1023,691,499,51.6,32.6
Castle Hill CDP,1271,614,657,49.7,49.5,49.9,52,276,962,521,448,348,51.7,21.7
Clayton city,11070,5284,5786,48.6,47.3,49.7,481,2277,8369,4400,3408,2456,52.3,20.6
Clyde CDP,729,355,374,42.5,42.2,42.6,35,122,585,263,185,119,51.3,16.7
Concord city,125410,61945,63465,39.5,38.3,40.8,7153,25899,95356,37301,28545,20402,50.6,20.7
Contra Costa Centre CDP,6808,3321,3487,34.6,34.7,34.4,385,935,5765,1356,1017,675,51.2,13.7
Crockett CDP,3242,1559,1683,46.6,44.2,48.6,131,452,2728,1279,994,714,51.9,13.9
Danville town,43582,21060,22522,46,44.9,46.9,1793,10574,31342,15570,11766,8564,51.7,24.3
Diablo CDP,1255,639,616,49.8,49.7,49.9,46,268,932,493,404,259,49.1,21.4
Discovery Bay CDP,15358,7716,7642,43.9,43.2,44.5,781,3458,11374,5135,3784,2668,49.8,22.5
East Richmond Heights CDP,3460,1681,1779,47,45.4,48.3,170,604,2778,1368,1094,830,51.4,17.5
El Cerrito city,25962,12612,13350,42.6,41,44.1,1327,4639,20774,8597,6945,5293,51.4,17.9
El Sobrante CDP,15524,7671,7853,40.8,40,41.6,784,2983,12057,4863,3725,2597,50.6,19.2
Hercules city,26016,12493,13523,42.4,40.7,44.2,1263,4961,20247,8718,6756,4772,52,19.1
Kensington CDP,5428,2542,2886,50.5,49.4,51.6,227,959,4328,2361,1955,1566,53.2,17.7
Knightsen CDP,1596,832,764,40.7,41.8,39.7,68,349,1181,531,385,251,47.9,21.9
Lafayette city,25391,12423,12968,45.2,44.9,45.6,1176,6168,18478,8979,7152,5394,51.1,24.3
Martinez city,37287,18174,19113,42.9,41.2,44.6,1924,7180,28989,12743,9738,6827,51.3,19.3
Montalvin Manor CDP,3099,1532,1567,38.3,36.5,39.8,158,685,2275,895,694,501,50.6,22.1
Moraga town,16870,8108,8762,42.9,42.1,43.5,667,3688,11590,5579,4458,3383,51.9,21.9
Mountain View CDP,2622,1337,1285,38.5,38.2,39,140,571,1969,728,516,339,49,21.8
Norris Canyon CDP,1313,675,638,42.8,43.1,42.5,45,358,887,342,215,141,48.6,27.3
North Gate CDP,667,316,351,53.6,52.8,54.4,26,114,533,312,230,157,52.6,17.1
North Richmond CDP,4175,2106,2069,31.6,30.9,32.3,279,1176,2798,682,481,330,49.6,28.2
Oakley city,43357,21251,22106,35.6,34.7,36.6,2782,11588,29944,10094,7246,4778,51,26.7
Orinda city,19514,9586,9928,46.6,46,47.3,1003,4859,14079,7330,5875,4557,50.9,24.9
Pacheco CDP,4183,2020,2163,41.7,40.5,42.8,220,837,3204,1375,1067,720,51.7,20
Pinole city,19022,9061,9961,43.8,41.9,46.2,847,3396,15064,6946,5485,4068,52.4,17.9
Pittsburg city,76416,37209,39207,35.7,34.6,37,4734,18515,54728,18954,14177,9586,51.3,24.2
Pleasant Hill city,34613,16693,17920,41.7,40,43.6,1978,6735,26733,11418,8972,6622,51.8,19.5
Port Costa CDP,190,91,99,50.5,50.6,50.4,3,18,168,77,58,47,52.1,9.5
Reliez Valley CDP,3354,1639,1715,51,49.4,52.3,157,669,2586,1475,1214,932,51.1,19.9
Richmond city,116448,57132,59316,36.9,35.7,38.2,6643,25816,86206,29649,22483,15859,50.9,22.2
Rodeo CDP,9653,4711,4942,39.3,37.4,40.4,505,2136,7136,2875,2204,1563,51.2,22.1
Rollingwood CDP,3015,1514,1501,34.4,33.2,35.6,163,709,2155,681,472,314,49.8,23.5
San Miguel CDP,3591,1743,1848,47.6,47.7,47.4,191,812,2664,1411,1104,792,51.5,22.6
San Pablo city,32127,15986,16141,34.7,33.6,35.7,1917,7959,22679,7124,5264,3689,50.2,24.8
San Ramon city,84605,41595,43010,39.9,39.4,40.4,3891,23108,58209,19029,13478,9517,50.8,27.3
Saranap CDP,5830,2811,3019,43.1,41.8,43.8,307,1261,4393,1891,1460,1097,51.8,21.6
Shell Ridge CDP,1014,507,507,49.4,49.1,51.1,47,239,755,424,327,243,50,23.6
Tara Hills CDP,5364,2600,2764,39.2,37.2,40.8,269,1109,4050,1598,1184,836,51.5,20.7
Vine Hill CDP,4323,2158,2165,37.7,37.3,38.1,271,1030,3148,1043,801,537,50.1,23.8
Walnut Creek city,70127,32415,37712,47.5,44.1,50.6,3285,11889,56694,29056,24706,20386,53.8,17
Del Norte County,27743,15035,12708,40.2,38.4,43.4,1412,5691,21274,9270,7269,5241,45.8,20.5
Bertsch-Oceanview CDP,2520,1219,1301,40,38.8,40.6,150,610,1823,804,622,449,51.6,24.2
Crescent City city,6673,4614,2059,35.2,34.3,38.3,273,998,5539,1403,1007,672,30.9,15
Fort Dick CDP,912,436,476,46,45.1,47.4,50,185,707,375,304,211,52.2,20.3
Gasquet CDP,657,306,351,59.7,61.7,58.9,15,91,559,379,324,247,53.4,13.9
Hiouchi CDP,314,155,159,56.3,54.8,57.3,9,38,268,162,132,102,50.6,12.1
Klamath CDP,1088,541,547,42.4,40,48.4,66,256,795,431,339,246,50.3,23.5
Smith River CDP,906,464,442,38.9,37.8,40.8,56,225,656,291,205,150,48.8,24.8
El Dorado County,191185,94829,96356,46.3,45.3,47.4,8523,39102,146173,74409,58985,42658,50.4,20.5
Auburn Lake Trails CDP,3388,1570,1818,54.1,54.5,53.4,130,580,2734,1641,1298,956,53.7,17.1
Cameron Park CDP,18881,9079,9802,43.1,41.4,44.9,1015,4135,14064,6829,5424,3995,51.9,21.9
Camino CDP,1871,945,926,55.3,54.5,56.3,80,331,1506,943,766,597,49.5,17.7
Cold Springs CDP,556,283,273,59.5,61.1,54.3,19,83,463,299,276,206,49.1,14.9
Coloma CDP,521,263,258,55.9,53.7,56.7,17,62,442,264,209,154,49.5,11.9
Diamond Springs CDP,11345,5433,5912,49.8,46.5,52.8,454,2049,8937,5069,4204,3267,52.1,18.1
El Dorado Hills CDP,50547,24705,25842,45,44.5,45.4,2193,12606,36017,17378,13271,9639,51.1,24.9
Georgetown CDP,2255,1191,1064,50.4,50.8,49.9,112,403,1794,1015,823,593,47.2,17.9
Grizzly Flats CDP,1093,578,515,51.1,52,49.8,53,200,871,495,369,274,47.1,18.3
Meyers CDP,2163,1151,1012,43.5,43.3,44.1,115,431,1677,737,572,374,46.8,19.9
Placerville city,10747,5049,5698,43.3,40.7,46,502,2160,8296,4066,3355,2584,53,20.1
Pollock Pines CDP,7112,3562,3550,46.6,46,47.3,365,1400,5505,2859,2184,1491,49.9,19.7
Shingle Springs CDP,4660,2233,2427,47.9,45,50.4,217,975,3513,1916,1534,1167,52.1,20.9
South Lake Tahoe city,21330,11063,10267,38.1,37.4,38.9,1007,3948,16747,6129,4728,3198,48.1,18.5
Tahoma CDP (part),672,357,315,48.3,48.2,48.8,25,107,556,257,180,106,46.9,15.9
Fresno County,1008654,501441,507213,33.3,32.4,34.3,69464,278409,685175,241728,185590,133322,50.3,27.6
Auberry CDP,3238,1595,1643,45.8,43.3,47.5,150,715,2443,1314,1063,767,50.7,22.1
Big Creek CDP,151,73,78,39.5,33.6,43.7,5,46,98,41,34,27,51.7,30.5
Biola CDP,1427,703,724,26.2,26.6,25.6,117,519,834,235,172,115,50.7,36.4
Bowles CDP,158,88,70,55,55,54,4,26,130,79,58,39,44.3,16.5
Calwa CDP,1776,926,850,29,28.9,29.1,147,551,1128,300,216,143,47.9,31
Cantua Creek CDP,500,274,226,29.6,28,32,57,148,331,78,63,51,45.2,29.6
Caruthers CDP,2613,1281,1332,30.6,29.6,31.6,188,835,1638,566,436,296,51,32
Centerville CDP,378,206,172,42.5,43.5,41.5,16,85,283,130,104,77,45.5,22.5
Clovis city,120124,57885,62239,36.1,34.9,37.2,7573,31472,83753,31308,24288,17714,51.8,26.2
Coalinga city,17590,10982,6608,34,34.7,32.4,942,3880,12973,3579,2515,1540,37.6,22.1
Del Rey CDP,1358,697,661,31.7,30.5,33.6,84,356,943,292,213,163,48.7,26.2
Easton CDP,1972,972,1000,37.4,37.7,37.1,115,487,1394,631,477,363,50.7,24.7
Firebaugh city,8096,4093,4003,29.6,28.4,31.3,618,2552,5122,1643,1162,762,49.4,31.5
Fort Washington CDP,255,125,130,45.1,44.8,45.5,18,62,186,108,90,72,51,24.3
Fowler city,6700,3297,3403,34.6,33.3,36,394,1852,4535,1563,1209,834,50.8,27.6
Fresno city,542107,266944,275163,32.2,31.2,33.3,39072,150328,367438,122538,93876,67347,50.8,27.7
Friant CDP,446,223,223,58.6,56.5,59.1,14,45,391,241,210,162,50,10.1
Huron city,6206,3160,3046,28.3,29,27.6,555,2195,3718,1065,754,468,49.1,35.4
Kerman city,16016,7872,8144,30.4,29.3,31.5,1190,5072,10095,3150,2390,1659,50.8,31.7
Kingsburg city,12380,5956,6424,36.8,35.1,38.4,765,3207,8667,3504,2728,2039,51.9,25.9
Lanare CDP,540,281,259,33.7,35.4,31.9,46,156,359,127,101,66,48,28.9
Laton CDP,1622,851,771,32.9,32.1,34.3,102,427,1098,388,283,205,47.5,26.3
Malaga CDP,884,455,429,32.4,33.7,28.6,58,254,573,214,165,106,48.5,28.7
Mayfair CDP,4831,2403,2428,30.9,30.1,31.9,336,1450,3172,1018,745,526,50.3,30
Mendota city,12595,6632,5963,26.6,27,26.1,1229,4463,7400,1840,1281,827,47.3,35.4
Millerton CDP,686,353,333,36.4,41.8,31.5,47,232,437,163,137,88,48.5,33.8
Minkler CDP,867,427,440,51.8,51.1,52.4,34,159,675,399,323,224,50.7,18.3
Monmouth CDP,120,62,58,36.2,37.5,35.7,10,24,90,35,31,24,48.3,20
Old Fig Garden CDP,5477,2707,2770,42.4,40.8,44.4,254,1159,4142,2000,1557,1169,50.6,21.2
Orange Cove city,9649,4767,4882,27,26.2,27.8,818,3401,5710,1637,1194,816,50.6,35.2
Parlier city,14576,7375,7201,28.4,27.3,29.4,1166,4926,8921,2547,1806,1241,49.4,33.8
Raisin City CDP,303,145,158,26.5,24.6,27,19,96,195,55,51,44,52.1,31.7
Reedley city,25227,12425,12802,32.4,30.8,34,1641,7358,16623,5821,4540,3356,50.7,29.2
Riverdale CDP,3477,1753,1724,29.8,28.8,30.6,281,1129,2172,709,513,351,49.6,32.5
Sanger city,26617,13093,13524,31.9,31.1,32.7,1839,8022,17347,5544,4232,3028,50.8,30.1
San Joaquin city,3701,1811,1890,26.5,26.5,26.5,295,1327,2147,600,418,291,51.1,35.9
Selma city,24674,12181,12493,31.9,30.9,32.9,1781,7207,16229,5503,4146,3046,50.6,29.2
Shaver Lake CDP,580,329,251,60.6,60.4,60.7,16,73,492,363,298,232,43.3,12.6
Squaw Valley CDP,3564,1898,1666,49.7,50.1,48.7,175,677,2786,1527,1216,865,46.7,19
Sunnyside CDP,4627,2236,2391,40.4,38.8,42.2,259,1112,3344,1580,1276,962,51.7,24
Tarpey Village CDP,3997,1976,2021,36.6,35.4,38.4,241,1019,2820,1210,950,679,50.6,25.5
Three Rocks CDP,248,128,120,35,41,26.2,22,71,159,41,29,15,48.4,28.6
Tranquillity CDP,805,407,398,30.5,29.6,31.5,64,253,522,191,151,112,49.4,31.4
West Park CDP,1053,547,506,35,35.2,34,77,296,698,274,215,156,48.1,28.1
Westside CDP,143,93,50,34.3,37.1,27,13,45,92,16,8,1,35,31.5
Glenn County,28917,14488,14429,37.5,36.4,38.7,1844,7453,20378,8702,6816,4975,49.9,25.8
Artois CDP,295,151,144,34.3,38.1,29,13,88,195,90,74,52,48.8,29.8
Elk Creek CDP,138,73,65,61.1,65.2,57.1,2,23,115,93,73,52,47.1,16.7
Hamilton City CDP,2263,1180,1083,34.5,32.8,35.7,120,613,1515,552,415,304,47.9,27.1
Orland city,8298,4017,4281,34.4,33.3,35.4,645,2304,5654,2174,1686,1247,51.6,27.8
Willows city,6293,3118,3175,35.8,34.5,37.6,392,1639,4437,1849,1443,1051,50.5,26
