Geography,TotalPop,MalePop,FemalePop,MedianAge,MaleMedianAge,FemaleMedianAge,Under5yoPop,Under18yoPop,Pop21andOlder,Pop55andOlder,Pop60andOlder,Pop65andOlder,PercFemale,PercUnder18yo
Graton CDP,1683,756,927,49.9,47.3,52.6,66,280,1359,729,618,484,55.1,16.6
Guerneville CDP,4552,2407,2145,49.9,50.1,49.5,151,654,3795,1961,1532,1067,47.1,14.4
Healdsburg city,11340,5517,5823,45.4,43.5,47.3,521,2156,8797,4360,3508,2654,51.3,19
Jenner CDP,122,58,64,63.8,67,57,1,5,117,82,69,55,52.5,4.1
Kenwood CDP,852,422,430,60.3,58.5,61.1,27,102,735,499,430,309,50.5,12
Larkfield-Wikiup CDP,8492,4167,4325,41.9,39.7,44.9,411,1857,6373,2988,2342,1678,50.9,21.9
Monte Rio CDP,1080,580,500,55.3,55.4,55,34,112,944,548,417,295,46.3,10.4
Occidental CDP,1132,583,549,54.3,52.1,55.5,33,168,935,558,477,355,48.5,14.8
Penngrove CDP,2637,1305,1332,49.2,47.1,50.7,120,498,2072,1075,840,648,50.5,18.9
Petaluma city,59776,28796,30980,43.4,41.7,44.9,2805,12217,45623,20661,16211,11951,51.8,20.4
Petaluma Center CDP,709,406,303,28.9,29.4,27.1,37,199,463,60,42,22,42.7,28.1
Rohnert Park city,44390,21531,22859,36.3,35.3,37.4,2358,8762,33762,12084,9204,6525,51.5,19.7
Salmon Creek CDP,111,57,54,58.8,59.5,58.7,3,10,98,58,54,44,48.6,9
Santa Rosa city,178127,86767,91360,39.9,38.2,41.5,9015,37586,134250,55597,44570,33398,51.3,21.1
Sea Ranch CDP,1169,532,637,68,68.6,67.7,21,63,1096,924,830,696,54.5,5.4
Sebastopol city,7521,3370,4151,50,46.8,51.9,244,1317,5990,3265,2760,2184,55.2,17.5
Sereno del Mar CDP,107,48,59,55.9,63.5,54.5,1,5,93,63,46,39,55.1,4.7
Sonoma city,10739,4853,5886,53.4,50.2,56,368,1688,8751,5163,4367,3495,54.8,15.7
Sonoma State University CDP,2679,976,1703,28.2,27.1,29.4,1,74,1934,83,42,2,63.6,2.8
Temelec CDP,1500,613,887,72.3,72.7,72,4,11,1487,1394,1301,1152,59.1,0.7
Timber Cove CDP,171,83,88,56.1,46.8,59.3,5,18,148,89,68,62,51.5,10.5
Valley Ford CDP,148,74,74,42,46.5,40.5,10,27,118,43,37,29,50,18.2
Windsor town,26344,12877,13467,42.2,40.5,43.8,1239,5871,19397,8651,6628,4682,51.1,22.3
Stanislaus County,552878,272558,280320,35.5,34.4,36.5,35390,144970,384444,143291,109703,78433,50.7,26.2
Airport CDP,1389,685,704,33.6,35.6,31.9,102,399,933,306,225,144,50.7,28.7
Bret Harte CDP,5135,2622,2513,30.1,29.7,30.3,397,1622,3230,873,618,399,48.9,31.6
Bystrom CDP,3957,2037,1920,31.3,30.8,31.6,316,1180,2563,837,632,434,48.5,29.8
Ceres city,49302,24668,24634,32.4,31.1,33.6,3258,14248,32666,10402,7678,5239,50,28.9
Cowan CDP,342,169,173,34,37.3,31.4,32,108,221,66,47,32,50.6,31.6
Crows Landing CDP,322,199,123,37,42.3,22.5,16,86,222,73,46,29,38.2,26.7
Del Rio CDP,1399,693,706,50.7,50,51,67,270,1083,606,479,353,50.5,19.3
Denair CDP,4865,2467,2398,37,36,37.8,301,1243,3441,1306,1024,736,49.3,25.5
Diablo Grande CDP,1669,847,822,38.4,37.6,38.9,122,426,1186,458,336,242,49.3,25.5
East Oakdale CDP,3201,1599,1602,51,49.7,52.8,107,616,2493,1445,1163,893,50,19.2
Empire CDP,4202,2176,2026,36.5,35.8,37.2,257,1043,2998,1055,777,502,48.2,24.8
Grayson CDP,1041,529,512,33.4,32.3,35,69,310,676,202,130,84,49.2,29.8
Hickman CDP,604,278,326,37.7,40.8,35.1,53,153,425,162,122,79,54,25.3
Hughson city,7481,3662,3819,35.6,34.4,36.6,464,2085,5072,1891,1473,1113,51,27.9
Keyes CDP,5672,2889,2783,32,31.6,32.3,432,1675,3729,1136,841,523,49.1,29.5
Knights Ferry CDP,112,51,61,41,23.3,48.1,10,34,70,35,31,30,54.5,30.4
La Grange CDP,166,72,94,42.1,32,46.3,11,39,117,43,33,26,56.6,23.5
Modesto city,218464,106266,112198,36.3,35.1,37.5,13701,54637,155273,59803,46452,33585,51.4,25
Monterey Park Tract CDP,164,79,85,26.6,26.8,26.5,10,49,110,34,23,12,51.8,29.9
Newman city,12351,6098,6253,32.4,31.5,33.4,885,3761,8021,2730,2008,1396,50.6,30.5
Oakdale city,23181,11220,11961,36.9,35.3,38.3,1511,6079,16235,6559,5108,3800,51.6,26.2
Orange Blossom CDP,1068,581,487,51.4,52.8,51,30,202,829,478,369,242,45.6,18.9
Parklawn CDP,1249,619,630,32,31.1,33.1,113,373,808,274,202,130,50.4,29.9
Patterson city,23781,11830,11951,33.7,32.8,34.6,1511,6868,15717,5042,3719,2538,50.3,28.9
Riverbank city,24865,12225,12640,34.3,33,35.3,1647,6994,16801,5585,4117,2861,50.8,28.1
Riverdale Park CDP,1053,541,512,37.5,38.1,37.3,63,257,752,289,205,143,48.6,24.4
Rouse CDP,1913,1019,894,30.8,30.5,30.9,136,578,1251,395,290,194,46.7,30.2
Salida CDP,13886,6936,6950,34.4,33.9,35,920,3802,9424,3160,2237,1476,50.1,27.4
Turlock city,72740,35212,37528,35.1,33.7,36.4,4630,18038,51242,19092,14773,10934,51.6,24.8
Valley Home CDP,284,158,126,50.3,46.3,55.2,8,57,224,117,95,75,44.4,20.1
Waterford city,9120,4485,4635,32.1,31.9,32.3,681,2714,6006,2026,1461,940,50.8,29.8
Westley CDP,575,303,272,24.3,24.5,23,69,246,308,77,44,33,47.3,42.8
West Modesto CDP,5965,3060,2905,31.6,31.2,32.2,462,1818,3870,1291,938,628,48.7,30.5
Sutter County,99633,49585,50048,36.9,35.4,38.5,6255,25052,70559,28226,21920,15951,50.2,25.1
East Nicolaus CDP,223,108,115,48.3,48.6,47.3,12,33,179,90,73,62,51.6,14.8
Live Oak city,9106,4475,4631,33.8,33,34.6,614,2580,6098,2247,1733,1225,50.9,28.3
Meridian CDP,304,142,162,47.6,47.4,48,14,62,232,116,94,63,53.3,20.4
Nicolaus CDP,176,89,87,50.5,53.5,37.5,8,33,135,73,58,49,49.4,18.8
Rio Oso CDP,372,190,182,40.4,43.5,38.3,20,96,254,142,116,60,48.9,25.8
Robbins CDP,347,181,166,36.9,40.1,36,15,84,253,84,55,35,47.8,24.2
Sutter CDP,2997,1510,1487,38.6,37.3,39.6,179,750,2165,899,671,437,49.6,25
Trowbridge CDP,229,131,98,39.2,37.6,45.5,7,46,175,76,57,48,42.8,20.1
Yuba City city,70117,34745,35372,36.1,34.4,38,4548,17788,49472,19134,14810,10819,50.4,25.4
Tehama County,65829,32827,33002,40.4,39.3,41.6,3861,15978,47587,22523,17813,13165,50.1,24.3
Bend CDP,603,286,317,54.5,56,54.3,30,122,466,296,227,177,52.6,20.2
Corning city,8244,4022,4222,32.3,30.7,33.7,579,2494,5382,1946,1473,1024,51.2,30.3
Dales CDP,28,17,11,63.3,63.8,50.5,0,3,25,15,15,9,39.3,10.7
Flournoy CDP,117,66,51,39.8,42,27.9,6,28,82,36,30,21,43.6,23.9
Gerber CDP,1044,520,524,32.4,29.6,36.5,66,297,689,243,173,118,50.2,28.4
Lake California CDP,3377,1702,1675,40.6,39.3,41.9,187,860,2426,1135,948,735,49.6,25.5
Las Flores CDP,190,101,89,39.4,46.3,36.3,7,51,135,67,53,42,46.8,26.8
Los Molinos CDP,2098,1094,1004,44.1,43.1,45.3,122,487,1555,752,593,449,47.9,23.2
Manton CDP,310,162,148,53.8,55.5,51.4,23,62,244,152,118,89,47.7,20
Mineral CDP,136,75,61,59.8,44.5,65.5,3,10,125,73,67,53,44.9,7.4
Paskenta CDP,110,42,68,49.7,47.3,52,0,17,89,43,38,24,61.8,15.5
Paynes Creek CDP,54,23,31,54,43.5,55.5,0,8,44,27,19,12,57.4,14.8
Proberta CDP,237,115,122,36.5,27.8,47,16,62,169,73,58,44,51.5,26.2
Rancho Tehama Reserve CDP,1572,824,748,45.9,47.3,43.3,51,316,1220,620,474,345,47.6,20.1
Red Bluff city,14710,7059,7651,35.3,33,37.4,968,3842,10245,4244,3334,2490,52,26.1
Richfield CDP,309,147,162,37.2,35.9,39.5,32,95,210,85,62,42,52.4,30.7
Tehama city,435,210,225,45.1,42,45.7,28,85,333,171,146,105,51.7,19.5
Vina CDP,198,110,88,51,44,61,7,32,157,90,84,57,44.4,16.2
Trinity County,16112,9068,7044,47.6,46.6,48.8,711,2693,13031,6664,5466,4006,43.7,16.7
Burnt Ranch CDP,250,144,106,48,48.3,44.5,10,39,206,109,85,62,42.4,15.6
Coffee Creek CDP,152,69,83,58.3,62.9,54.8,3,23,126,82,73,48,54.6,15.1
Douglas City CDP,868,481,387,51.9,53.6,50.6,49,153,705,392,330,235,44.6,17.6
Hayfork CDP,2324,1286,1038,43.9,43.4,45.2,140,442,1824,860,694,497,44.7,19
Hyampom CDP,241,149,92,42.6,52.3,40,7,25,211,102,92,77,38.2,10.4
Junction City CDP,658,357,301,52,49.9,55.3,18,79,568,304,269,206,45.7,12
Lewiston CDP,1222,631,591,53.4,50.8,55.1,63,214,985,583,475,344,48.4,17.5
Mad River CDP,361,190,171,54.9,55,54.9,10,43,315,180,134,91,47.4,11.9
Post Mountain CDP,3032,2080,952,42.2,42.7,39.9,110,388,2546,1018,783,509,31.4,12.8
Ruth CDP,254,129,125,61.5,60.5,62.5,10,52,197,135,131,101,49.2,20.5
Salyer CDP,389,195,194,54.2,50.8,58.5,11,72,305,192,173,128,49.9,18.5
Trinity Center CDP,198,102,96,59.4,54,62,3,23,174,114,96,80,48.5,11.6
Trinity Village CDP,278,159,119,57.5,55.8,59.1,6,47,230,150,125,91,42.8,16.9
Weaverville CDP,3667,1823,1844,44.1,42.6,45,199,801,2761,1370,1117,823,50.3,21.8
Tulare County,473117,234710,238407,32.3,31.4,33.1,33927,142024,309281,106889,81247,57838,50.4,30
Allensworth CDP,531,251,280,27.8,29.3,25.5,44,204,306,92,73,38,52.7,38.4
Alpaugh CDP,871,451,420,24.9,24.8,24.9,82,346,485,144,91,57,48.2,39.7
California Hot Springs CDP,50,24,26,66.5,66.8,65.5,0,6,44,37,30,29,52,12
Camp Nelson CDP,106,46,60,63.3,65,63.3,0,4,102,80,66,48,56.6,3.8
Cedar Slope CDP,10,8,2,39,45,17.5,0,2,7,1,1,1,20,20
Cutler CDP,4480,2248,2232,28.3,28.3,28.3,375,1549,2697,783,559,391,49.8,34.6
Delft Colony CDP,412,232,180,25.5,24,26.8,36,132,255,64,38,27,43.7,32
Dinuba city,24563,12174,12389,29.7,29,30.5,1845,8014,15370,4672,3435,2436,50.4,32.6
Ducor CDP,616,300,316,28.1,27.5,29.8,62,208,365,115,86,66,51.3,33.8
Earlimart CDP,7679,3769,3910,28.1,27.6,28.8,592,2592,4611,1411,1026,689,50.9,33.8
East Orosi CDP,423,216,207,30.3,35.3,26.5,35,153,258,73,58,30,48.9,36.2
East Porterville CDP,5549,2821,2728,28.2,28,28.4,478,1839,3408,1120,809,565,49.2,33.1
East Tulare Villa CDP,773,391,382,30.6,29.8,31.6,58,246,491,174,120,98,49.4,31.8
El Monte Mobile Village CDP,156,94,62,35.4,35.7,34.3,10,40,116,28,14,12,39.7,25.6
El Rancho CDP,96,41,55,38.8,45.8,38.6,13,30,61,27,18,5,57.3,31.3
Exeter city,10321,4999,5322,35,33.7,36.1,664,2792,7085,2676,2138,1555,51.6,27.1
Farmersville city,10397,5148,5249,29.4,28.2,30.2,747,3386,6442,1912,1401,966,50.5,32.6
Goshen CDP,4968,2480,2488,27.3,26,28.6,446,1877,2854,730,540,349,50.1,37.8
Hartland CDP,69,49,20,38.1,36.8,42.5,3,18,47,18,15,8,29,26.1
Hypericum CDP,125,56,69,30.5,31,29.5,11,41,78,21,21,13,55.2,32.8
Idlewild CDP,32,18,14,64,63.8,66.5,0,1,31,24,23,15,43.8,3.1
Ivanhoe CDP,4468,2237,2231,31.1,29.5,32.8,335,1384,2831,998,717,486,49.9,31
Jovista CDP,41,12,29,35.8,20.5,38.8,3,17,24,8,4,4,70.7,41.5
Kennedy Meadows CDP,58,31,27,61.5,62.5,60.5,1,5,50,33,30,26,46.6,8.6
Lemon Cove CDP,298,140,158,39.5,41,38.9,17,70,223,101,79,57,53,23.5
Lindcove CDP,189,99,90,40.2,39.3,42,10,47,135,61,54,38,47.6,24.9
Lindsay city,12659,6205,6454,28.2,26.9,29.3,1084,4371,7672,2288,1714,1191,51,34.5
Linnell Camp CDP,696,324,372,24.5,21.8,25.8,56,279,379,108,73,44,53.4,40.1
London CDP,1518,808,710,29.6,29.6,29.4,108,500,943,293,211,141,46.8,32.9
McClenney Tract CDP,15,4,11,65.3,66.3,62.3,0,1,14,13,12,8,73.3,6.7
Matheny CDP,1125,617,508,31.1,32.9,29.9,94,353,728,226,159,124,45.2,31.4
Monson CDP,152,59,93,32.5,28.8,33.5,12,53,94,32,21,18,61.2,34.9
Orosi CDP,8329,4167,4162,30.4,29.9,30.8,588,2563,5332,1733,1241,869,50,30.8
Panorama Heights CDP,44,27,17,55,52.9,57.5,0,7,37,22,17,15,38.6,15.9
Patterson Tract CDP,1888,922,966,32.2,31,33.1,144,585,1212,436,344,250,51.2,31
Pierpoint CDP,59,34,25,68.9,75.1,67.9,5,12,47,43,42,39,42.4,20.3
Pine Flat CDP,206,121,85,59.4,62.3,55.3,5,24,179,112,99,86,41.3,11.7
Pixley CDP,3828,1892,1936,26.5,25.7,27.5,279,1385,2259,582,417,270,50.6,36.2
Plainview CDP,846,406,440,26.5,25.9,27.7,69,294,498,166,118,79,52,34.8
Ponderosa CDP,51,34,17,62.5,57,62.5,3,7,44,29,26,21,33.3,13.7
Poplar-Cotton Center CDP,2370,1189,1181,29.6,28.4,31.6,184,739,1509,521,409,291,49.8,31.2
Porterville city,62623,30864,31759,30.5,29.4,31.6,4830,20028,39531,13215,10040,7133,50.7,32
Posey CDP,23,14,9,66.5,70.3,63.5,0,1,22,19,19,16,39.1,4.3
Poso Park CDP,9,3,6,72.3,24.5,74,0,0,8,7,7,7,66.7,0
Richgrove CDP,2358,1220,1138,28.2,26.4,30.1,194,825,1418,451,318,196,48.3,35
Rodriguez Camp CDP,133,64,69,23.6,23,28.1,9,56,73,18,16,13,51.9,42.1
Sequoia Crest CDP,24,14,10,54.5,53.5,63.5,1,2,22,12,10,7,41.7,8.3
Seville CDP,446,221,225,27.1,29.1,25.8,39,147,264,76,51,38,50.4,33
Silver City CDP,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA
Springville CDP,967,461,506,50.7,46.9,54.6,53,195,754,439,357,251,52.3,20.2
Strathmore CDP,2830,1384,1446,29,30.1,28.7,231,937,1764,547,404,296,51.1,33.1
Sugarloaf Saw Mill CDP,14,7,7,57.5,57.3,58.5,0,1,13,8,5,2,50,7.1
Sugarloaf Village CDP,7,6,1,76.8,76.5,81.5,0,0,7,5,5,5,14.3,0
Sultana CDP,779,423,356,28.8,30.8,27.8,54,271,475,134,101,68,45.7,34.8
Terra Bella CDP,2910,1490,1420,29.2,28.8,29.6,203,942,1803,557,421,293,48.8,32.4
Teviston CDP,1185,609,576,27.4,28.3,26.5,86,429,701,205,160,99,48.6,36.2
Three Rivers CDP,2053,993,1060,56.4,56.7,56.2,65,290,1722,1071,909,682,51.6,14.1
Tipton CDP,2519,1292,1227,27.4,27,27.7,207,868,1516,379,268,177,48.7,34.5
Tonyville CDP,329,176,153,28.9,29,25.8,26,123,193,52,43,39,46.5,37.4
Tooleville CDP,286,118,168,27.5,27,29.3,23,104,166,55,25,16,58.7,36.4
Traver CDP,731,371,360,27.1,28.5,25.9,62,243,444,132,78,58,49.2,33.2
Tulare city,68875,33897,34978,31.1,30.3,32.1,5152,21147,44452,14151,10542,7393,50.8,30.7
Visalia city,141384,69153,72231,34.1,33.2,34.9,9376,39433,96137,33820,26103,18866,51.1,27.9
Waukena CDP,80,41,39,42,42.3,41.8,0,11,64,22,14,11,48.8,13.8
West Goshen CDP,536,307,229,29.4,30.6,28.2,43,165,350,112,72,47,42.7,30.8
Wilsonia CDP,14,10,4,41,34,56.5,1,1,10,5,2,1,28.6,7.1
Woodlake city,7419,3674,3745,30.2,30,30.5,594,2352,4721,1587,1194,827,50.5,31.7
Woodville CDP,1680,886,794,31.3,31.3,31.3,126,518,1059,339,249,167,47.3,30.8
Woodville Farm Labor Camp CDP,729,350,379,22.7,22.5,22.8,69,291,385,96,57,37,52,39.9
Yettem CDP,201,129,72,24.9,26.9,22.5,29,65,119,23,15,13,35.8,32.3
Tuolumne County,55620,28790,26830,48.9,45.9,51.7,2360,9352,44700,24061,20027,15053,48.2,16.8
Cedar Ridge CDP,1235,630,605,50.7,48.2,52.6,51,216,979,569,469,341,49,17.5
Chinese Camp CDP,90,44,46,41.5,32.5,55.3,7,19,69,40,31,26,51.1,21.1
Cold Springs CDP,123,69,54,62.7,62.3,63,4,10,112,76,73,50,43.9,8.1
Columbia CDP,2577,1215,1362,50.3,47.1,52.1,94,443,2019,1166,993,772,52.9,17.2
East Sonora CDP,2431,1054,1377,62.3,57.3,65.6,89,305,2071,1447,1310,1109,56.6,12.5
Groveland CDP,540,297,243,46.8,46.8,47.5,27,96,432,230,188,150,45,17.8
Jamestown CDP,3478,1662,1816,50.4,47.2,53.3,171,681,2708,1569,1332,1013,52.2,19.6
Long Barn CDP,162,77,85,58.5,58.6,58.4,2,22,138,96,68,48,52.5,13.6
Mi-Wuk Village CDP,935,481,454,55.3,58.3,54,36,125,794,474,385,280,48.6,13.4
Mono Vista CDP,3236,1628,1608,42.1,41.9,42.4,188,714,2426,1196,943,699,49.7,22.1
Phoenix Lake CDP,4264,2086,2178,55.2,55.3,55,165,728,3434,2141,1855,1457,51.1,17.1
Pine Mountain Lake CDP,2636,1358,1278,63.2,62.6,63.9,81,257,2327,1692,1488,1233,48.5,9.7
Sierra Village CDP,411,243,168,48.4,50.4,36.5,11,68,320,179,161,117,40.9,16.5
Sonora city,5003,2336,2667,41.4,38.6,44,232,942,3868,1737,1450,1088,53.3,18.8
Soulsbyville CDP,2092,1051,1041,45.2,44.3,46.3,93,426,1601,844,683,478,49.8,20.4
Strawberry CDP,87,37,50,63.4,64.5,63,6,14,71,55,47,39,57.5,16.1
Tuolumne City CDP,1798,876,922,41.8,38.9,43.8,120,404,1344,601,460,342,51.3,22.5
Tuttletown CDP,787,381,406,52.5,51.8,53.7,33,137,628,378,295,217,51.6,17.4
Twain Harte CDP,2378,1192,1186,53.2,54.3,52.4,95,378,1927,1135,958,744,49.9,15.9
Ventura County,843843,414453,429390,39.5,38.1,40.8,43544,187645,621672,256681,198153,142526,50.9,22.2
Bell Canyon CDP,1946,964,982,48.7,48.8,48.6,62,383,1480,794,618,461,50.5,19.7
Camarillo city,70741,33986,36755,42.8,40.5,44.9,3474,14421,53898,24927,20025,15300,52,20.4
Casa Conejo CDP,3267,1645,1622,39.2,38.5,40.1,168,750,2383,940,683,494,49.6,23
Channel Islands Beach CDP,2870,1458,1412,51.8,51.5,52.1,84,364,2452,1291,1011,726,49.2,12.7
El Rio CDP,7037,3612,3425,32.7,32.1,33.5,453,1973,4739,1545,1158,826,48.7,28
Fillmore city,16419,8098,8321,34.6,34.3,35,1051,4433,11211,3821,2841,2026,50.7,27
Lake Sherwood CDP,1759,889,870,52.4,52.4,52.4,47,315,1367,804,601,451,49.5,17.9
Meiners Oaks CDP,3911,1940,1971,44.3,43.4,45.4,182,802,2985,1474,1206,874,50.4,20.5
Mira Monte CDP,6618,3132,3486,51.7,49.3,54.3,254,1089,5324,3037,2477,1903,52.7,16.5
Moorpark city,36284,17789,18495,39.3,38.6,40,2012,8509,26360,10632,7874,5180,51,23.5
Oak Park CDP,13898,6681,7217,43.7,43.2,44.1,602,3215,10198,4515,3301,2126,51.9,23.1
Oak View CDP,6215,3025,3190,43.3,42.3,44,302,1278,4744,2195,1791,1273,51.3,20.6
Ojai city,7637,3508,4129,49.7,47,51.5,327,1342,6077,3274,2745,2074,54.1,17.6
Oxnard city,202063,100815,101248,33.7,32.8,34.6,12546,52660,140336,46467,34898,24297,50.1,26.1
Piru CDP,2587,1337,1250,32.5,32.2,32.7,167,741,1702,566,411,284,48.3,28.6
Port Hueneme city,21954,10872,11082,34.9,33.1,36.6,1362,5035,15923,5835,4569,3259,50.5,22.9
San Buenaventura (Ventura) city,110763,53791,56972,41.4,40,42.8,5278,22217,84904,36604,28580,20745,51.4,20.1
Santa Paula city,30657,15286,15371,35,33.9,36,1900,8104,21197,7636,5902,4270,50.1,26.4
Santa Rosa Valley CDP,3312,1648,1664,52.1,51.7,52.5,108,613,2596,1536,1208,835,50.2,18.5
Santa Susana CDP,1160,581,579,49.1,47.3,50.4,48,213,932,464,343,246,49.9,18.4
Saticoy CDP,1133,594,539,32.3,30.8,33.4,83,339,743,216,150,105,47.6,29.9
Simi Valley city,126356,61947,64409,41.5,40,43.1,6092,26130,95396,39635,29990,21072,51,20.7
Somis CDP,1429,722,707,42.5,41.1,44.6,72,297,1073,534,430,301,49.5,20.8
Thousand Oaks city,126966,61693,65273,45,43.2,46.4,5214,25289,95957,45436,35459,26294,51.4,19.9
Yolo County,216403,104292,112111,33.3,32.5,34.1,11307,45147,153635,53788,41684,30209,51.8,20.9
Brooks CDP,31,21,10,40.9,40.6,46.5,0,6,24,8,7,5,32.3,19.4
Clarksburg CDP,402,206,196,44.7,43.7,45,19,82,302,147,121,84,48.8,20.4
Davis city,66850,31480,35370,28.1,28,28.2,2597,10709,49115,15301,12245,9272,52.9,16
Dunnigan CDP,1382,694,688,41.8,41.6,42,54,311,1009,501,396,288,49.8,22.5
El Macero CDP,1074,527,547,58,56.1,59.5,31,174,873,586,506,420,50.9,16.2
Esparto CDP,3572,1742,1830,34.6,34.8,34.4,257,989,2420,913,684,499,51.2,27.7
Guinda CDP,245,119,126,54.8,52.6,56.3,18,46,193,121,100,69,51.4,18.8
Knights Landing CDP,1117,550,567,37.7,36.2,39.1,74,282,781,315,216,161,50.8,25.2
Madison CDP,581,309,272,31.8,32.2,31.6,34,173,379,143,118,75,46.8,29.8
Monument Hills CDP,1702,839,863,46.4,47.6,44.8,76,383,1266,632,492,330,50.7,22.5
Rumsey CDP,91,33,58,55.1,39.8,55.3,4,13,77,46,35,31,63.7,14.3
Tancred CDP,89,63,26,36.5,38.5,34.5,5,28,59,32,25,22,29.2,31.5
University of California-Davis CDP,8525,3697,4828,19.7,20.1,19.5,174,341,2853,104,81,53,56.6,4
West Sacramento city,53915,26352,27563,36.6,35.8,37.4,3413,13287,38858,13125,9892,6850,51.1,24.6
Winters city,7115,3527,3588,37.7,36.2,39.3,454,1765,5102,1999,1486,1037,50.4,24.8
Woodland city,61032,29721,31311,37,35.4,38.5,3694,14759,43836,16619,12760,9154,51.3,24.2
Yolo CDP,425,212,213,42.6,40.5,47.2,25,101,312,138,111,79,50.1,23.8
Yuba County,81575,41063,40512,34.3,33.3,35.3,5905,22030,56221,20543,15664,10915,49.7,27
Beale AFB CDP,1303,615,688,22.3,23.3,21.3,218,563,669,32,28,13,52.8,43.2
Camptonville CDP,158,78,80,47.3,45.5,47.8,7,34,121,62,40,24,50.6,21.5
Challenge-Brownsville CDP,1161,584,577,53.3,53,53.9,59,240,900,530,436,313,49.7,20.7
Dobbins CDP,551,299,252,55.9,58.5,53,26,92,449,284,236,176,45.7,16.7
Linda CDP,21654,10885,10769,31.5,30.4,32.6,1788,6451,14370,4433,3276,2243,49.7,29.8
Loma Rica CDP,2409,1203,1206,48.9,47.1,50.8,110,458,1872,1031,818,600,50.1,19
Marysville city,12844,6411,6433,33.8,32.5,35.2,892,3102,9294,3336,2579,1815,50.1,24.2
Olivehurst CDP,16595,8271,8324,32.3,31.5,33.2,1293,4991,10887,3623,2699,1778,50.2,30.1
Plumas Lake CDP,8126,4095,4031,32.8,32.1,33.4,663,2686,5157,1349,951,626,49.6,33.1
Smartsville CDP,185,93,92,44.8,42.8,46.3,11,38,142,53,40,29,49.7,20.5
Wheatland city,3712,1808,1904,35.1,33.6,36.4,244,1010,2556,941,694,484,51.3,27.2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
* Average household size and other data describing complex relationships between households and the people living in them will be released with the Supplemental Demographic and Housing Characteristics File (S-DHC). The U.S. Census Bureau has not determined the release date for S-DHC yet.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
