hpsa_name,metropolitan_indicator,designation_type,hpsa_discipline_class,hpsa_status,hpsa_score,hpsa_designation_population,u_s_mexico_border_county_indicator,rural_status,hpsa_population_type
Low Income - Brawley/Calipatria (MSSA 50/51),Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,17542,Y,Rural,Native American Population HPSA
Low Income - MSSA 116q/Anaheim E/City of Orange N,Metropolitan,HPSA Population,Primary Care,Withdrawn,11,37037,N,Non-Rural,Low Income Population HPSA
Low Income - MSSA 39 & 40/Arcata/Eureka/McKinleyvi,Unknown,HPSA Population,Primary Care,Withdrawn,8,36084,N,Rural,Low Income Population HPSA
Low Income - MSSA 123.1/Bucks Lake/East Quincy/Cro,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,8,2026,N,Rural,Low Income Population HPSA
Fontana North/Rancho Cucamonga Northwest-MSSA 151E,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,114726,N,Rural,Geographic Population
MSSA 188.2/Manton,Unknown,Geographic HPSA,Primary Care,Withdrawn,10,6262,N,Non-Rural,Geographic Population
MSSA 158.2/San Diego County Estates,Unknown,Geographic HPSA,Primary Care,Designated,10,10442,Y,Non-Rural,Geographic Population
MSSA 219/Rancho Tehama,Unknown,High Needs Geographic HPSA,Primary Care,Withdrawn,17,5032,N,Rural,Geographic Population
MSSA 29/Herndon/Kerman,Unknown,High Needs Geographic HPSA,Primary Care,Designated,18,51049,N,Rural,Geographic Population
MSSA 122/125 - Greenville/Chester,Unknown,Geographic HPSA,Primary Care,Designated,12,6271,N,Rural,Geographic Population
LI-MFW/MSSA 230/Tipton/Tulare/Woodville,Unknown,HPSA Population,Primary Care,Withdrawn,15,45765,N,Non-Rural,Low Income Migrant Farmworker Population HPSA
MSSA 77.1a/Palmdale Central,Unknown,Geographic HPSA,Primary Care,Designated,9,101329,N,Non-Rural,Geographic Population
MSSA 148 - Wrightwood,Unknown,Geographic HPSA,Primary Care,Designated,13,5894,N,Non-Rural,Geographic Population
Low Income/Migrant Seasonal Farmworkers - Dinuba/C,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,93066,N,Non-Rural,Low Income Migrant Seasonal Worker Population HPSA
Low Income/MFW/Homeless - MSSA 241a/Oxnard East,Unknown,HPSA Population,Primary Care,Withdrawn,12,42478,N,Rural,Low Income Homeless Migrant Farmworker Population HPSA
Low Income/Migrant Seasonal Farmworkers - Colusa C,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,22458,N,Rural,Low Income Migrant Seasonal Worker Population HPSA
Low Income/Migrant Seasonal Farmworkers - Tehachap,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,11457,N,Rural,Low Income Migrant Seasonal Worker Population HPSA
MSSA 48 - El Centro,Unknown,Geographic HPSA,Primary Care,Withdrawn,11,78047,Y,Non-Rural,Geographic Population
Lytle Creek/Wrightwood (MSSA 148),Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,6472,N,Non-Rural,Geographic Population
City Terrace East/East L.A. (MSSA 78.2D),Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,102513,N,Non-Rural,Geographic Population
Low Income/MFW/H - MSSA 35d/35f/Fresno East/North,Unknown,HPSA Population,Primary Care,Withdrawn,14,113106,N,Non-Rural,Low Income Homeless Migrant Farmworker Population HPSA
LI - MSSA 116g/Santa Ana South,Unknown,HPSA Population,Primary Care,Designated,13,43716,N,Non-Rural,Low Income Population HPSA
MSSA 123.2 &amp; 124- Portola and Graeagle,Unknown,Geographic HPSA,Primary Care,Designated,15,5735,N,Rural,Geographic Population
MSSA 187/Castella/Lakehead/O,Unknown,High Needs Geographic HPSA,Primary Care,Designated,13,1623,N,Rural,Geographic Population
MSSA 65/California City,Unknown,Geographic HPSA,Primary Care,Withdrawn,16,44976,N,Rural,Geographic Population
LI/MFW - MSSA 221/Red Bluff,Unknown,HPSA Population,Primary Care,Designated,15,17253,N,Rural,Low Income Migrant Farmworker Population HPSA
MSSA 96 - Atwater,Unknown,Geographic HPSA,Primary Care,Designated,11,51192,N,Non-Rural,Geographic Population
ME - MSSA 78.2m/Bellflower/Paramount South,Unknown,HPSA Population,Primary Care,Designated,8,44911,N,Unknown,Medicaid Eligible Population HPSA
ME - MSSA 161h/El Cajon Central and South/Fletcher Hills,Unknown,HPSA Population,Primary Care,Designated,13,45249,Y,Non-Rural,Medicaid Eligible Population HPSA
MSSA 234.1 &amp; 235/Chinese Camp/Big Oak Flat,Unknown,Geographic HPSA,Primary Care,Designated,13,5531,N,Rural,Geographic Population
MSSA 36.2/Hamilton City,Unknown,High Needs Geographic HPSA,Primary Care,Designated,13,3501,N,Rural,Geographic Population
LI - MSSA 151h - Fontana Central/Rialto Central,Unknown,HPSA Population,Primary Care,Designated,17,65291,N,Non-Rural,Low Income Population HPSA
LI MSSA 116r - Garden Grove North,Unknown,HPSA Population,Primary Care,Designated,13,44516,N,Non-Rural,Low Income Population HPSA
ME - MSSA 35d/Fresno East Central,Unknown,HPSA Population,Primary Care,Designated,19,71846,N,Non-Rural,Medicaid Eligible Population HPSA
MSSA 53 - Bishop,Unknown,Geographic HPSA,Primary Care,Designated,11,12338,N,Rural,Geographic Population
LI/MFW - MSSA 233/Visalia,Unknown,HPSA Population,Primary Care,Designated,15,70725,N,Non-Rural,Low Income Migrant Farmworker Population HPSA
MSSA 66b - Bakersfield East,Unknown,Geographic HPSA,Primary Care,Designated,12,142648,N,Unknown,Geographic Population
MSSA 229 - Three Rivers,Unknown,Geographic HPSA,Primary Care,Designated,16,5129,N,Unknown,Geographic Population
LI-MSSA 78.2yyy-Industry West-La Puente,Unknown,HPSA Population,Primary Care,Designated,4,42463,N,Non-Rural,Low Income Population HPSA
MSSA 77.3/Juniper Hills,Unknown,Geographic HPSA,Primary Care,Designated,16,17994,N,Non-Rural,Geographic Population
MSSA 69/Hanford/Lemoore,Unknown,Geographic HPSA,Primary Care,Designated,10,114327,N,Non-Rural,Geographic Population
MSSA 7.4/Durham,Unknown,Geographic HPSA,Primary Care,Withdrawn,11,5502,N,Non-Rural,Geographic Population
MSSA 44 - Garberville/Redway,Unknown,Geographic HPSA,Primary Care,Designated,12,6660,N,Rural,Geographic Population
ME MSSA 35f - Fresno North Central,Unknown,HPSA Population,Primary Care,Designated,10,33937,N,Non-Rural,Medicaid Eligible Population HPSA
ME - MSSA 218/Live Oak,Unknown,HPSA Population,Primary Care,Designated,17,4981,N,Non-Rural,Medicaid Eligible Population HPSA
LI - MSSA 161g/Lemon Grove Northwest/National City East,Unknown,HPSA Population,Primary Care,Designated,10,43428,Y,Non-Rural,Low Income Population HPSA
MSSA 19/Del Norte County,Unknown,High Needs Geographic HPSA,Primary Care,Designated,8,24448,N,Rural,Geographic Population
MSSA 159/Buckman Springs,Unknown,Geographic HPSA,Primary Care,Withdrawn,13,6864,Y,Rural,Geographic Population
MSSA 94/Dos Palos,Unknown,High Needs Geographic HPSA,Primary Care,Withdrawn,12,58098,N,Rural,Geographic Population
MSSA 57.2/Taft,Unknown,High Needs Geographic HPSA,Primary Care,Designated,19,22785,N,Rural,Geographic Population
ME MSSA 97.3 - Le Grand/Planada,Unknown,HPSA Population,Primary Care,Designated,17,4490,N,Non-Rural,Medicaid Eligible Population HPSA
MSSA 93.3/Potter Valley,Unknown,Geographic HPSA,Primary Care,Designated,11,1869,N,Rural,Geographic Population
LI - MSSA 70.1/70.2 Lakeport/Lucerne,Unknown,HPSA Population,Primary Care,Designated,16,9654,N,Rural,Low Income Population HPSA
LI/MSSA 147-Lake Arrowhead,Unknown,HPSA Population,Primary Care,Designated,14,5949,N,Rural,Low Income Population HPSA
MSSA 68/Corcoran,Unknown,High Needs Geographic HPSA,Primary Care,Designated,15,19801,N,Rural,Geographic Population
LI/MFW/H - MSSA 91/Willits,Unknown,HPSA Population,Primary Care,Designated,14,5662,N,Rural,Low Income Homeless Migrant Farmworker Population HPSA
LI - MSSA 78.2sss/Lynwood North Central,Unknown,HPSA Population,Primary Care,Designated,10,32758,N,Non-Rural,Low Income Population HPSA
MSSA 67 Avenal,Unknown,High Needs Geographic HPSA,Primary Care,Designated,17,11766,N,Rural,Geographic Population
ME - MSSA 66c/Bakersfield Southwest,Unknown,HPSA Population,Primary Care,Designated,16,63125,N,Non-Rural,Medicaid Eligible Population HPSA
ME MSSA 145.1a/Hesperia West/Mountain View Acres,Unknown,HPSA Population,Primary Care,Designated,15,98922,N,Non-Rural,Medicaid Eligible Population HPSA
East Salinas/North Central Salinas,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,48722,N,Non-Rural,Geographic Population
Mission/Ocean/Pacific Beach,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,59223,Y,Non-Rural,Geographic Population
Surprise Valley,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,1410,N,Rural,Geographic Population
Borrego Springs (MSSA 152),Metropolitan,Geographic HPSA,Primary Care,Withdrawn,11,13486,Y,Rural,Geographic Population
Tri-Community,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,2399,N,Partially Rural,Geographic Population
Lucerne Valley,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,3055,N,Partially Rural,Geographic Population
Commerce,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,10789,N,Non-Rural,Geographic Population
MSSA 78.2i El Sereno N/Highland Park/,Metropolitan,High Needs Geographic HPSA,Primary Care,Withdrawn,7,129447,N,Non-Rural,Geographic Population
Seaside,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,20320,N,Non-Rural,Geographic Population
Trinidad,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,3130,N,Rural,Geographic Population
MSSA 78.2jjj/Long Beach West Central,Unknown,High Needs Geographic HPSA,Primary Care,Designated,14,109987,N,Non-Rural,Geographic Population
ME - MSSA 133.1/Perris,Unknown,HPSA Population,Primary Care,Designated,9,65540,N,Non-Rural,Medicaid Eligible Population HPSA
ME-MSSA 78.2aaaa/Torrance East Central,Unknown,HPSA Population,Primary Care,Withdrawn,14,32032,N,Non-Rural,Medicaid Eligible Population HPSA
Colusa County,Unknown,Geographic HPSA,Primary Care,Designated,9,24753,N,Rural,Geographic Population
Low Income - Fallbrook/Live Oak (MSSA 160),Metropolitan,HPSA Population,Primary Care,Withdrawn,9,23918,Y,Non-Rural,Low Income Population HPSA
Low Income - South Sutter (MSSA 217),Metropolitan,HPSA Population,Primary Care,Withdrawn,0,1223,N,Non-Rural,Low Income Population HPSA
Low Income - Wheatland (MSSA 248.1),Metropolitan,HPSA Population,Primary Care,Withdrawn,0,1368,N,Non-Rural,Low Income Population HPSA
"MSSA 230/Earlimart, Pixley, Tipton",Metropolitan,High Needs Geographic HPSA,Primary Care,Withdrawn,11,69199,N,Non-Rural,Geographic Population
Tuolumne City,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,4500,N,Rural,Geographic Population
Indochinese Population - Orange,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,25856,N,Non-Rural,Other Population HPSA
Medicaid Eligible - Vacaville,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,6057,N,Non-Rural,Medicaid Eligible Population HPSA
Low Income - Pajaro (MSSA 184.2),Metropolitan,HPSA Population,Primary Care,Withdrawn,0,5094,N,Non-Rural,Low Income Population HPSA
Low Income - Meridian/Robbins (MSSA 216),Metropolitan,HPSA Population,Primary Care,Withdrawn,0,823,N,Non-Rural,Low Income Population HPSA
Low Income - Live Oak (MSSA 218),Metropolitan,HPSA Population,Primary Care,Withdrawn,0,4252,N,Non-Rural,Low Income Population HPSA
Low Income - MSSA 78.2p/Long Beach Port,Unknown,HPSA Population,Primary Care,Withdrawn,17,58746,N,Non-Rural,Low Income Population HPSA
Low Income - West Imperial (MSSA 52),Metropolitan,HPSA Population,Primary Care,Withdrawn,0,344,Y,Rural,Low Income Population HPSA
Low Income - Fillmore (MSSA 239.2),Metropolitan,HPSA Population,Primary Care,Withdrawn,0,5246,N,Rural,Low Income Population HPSA
Low Income/MFW - MSSA 241b/Oxnard North Central,Unknown,HPSA Population,Primary Care,Withdrawn,13,64563,N,Non-Rural,Low Income Migrant Farmworker Population HPSA
Gonzales/Greenfield/Soledad (MSSA 107),Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,41691,N,Rural,Geographic Population
Low Income - Oceanside West/Carlsbad West,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,32192,Y,Non-Rural,Low Income Population HPSA
Low Income - MSSA 169a/Stockton North Central,Unknown,HPSA Population,Primary Care,Withdrawn,4,48653,N,Non-Rural,Low Income Population HPSA
MSSA 149/Barstow,Unknown,Geographic HPSA,Primary Care,Withdrawn,9,50859,N,Non-Rural,Geographic Population
LI - MSSA 78.2d/City Terrace East,Unknown,HPSA Population,Primary Care,Designated,11,45420,N,Non-Rural,Low Income Population HPSA
ME MSSA 78.2aaaa -Torrance East Central,Unknown,HPSA Population,Primary Care,Designated,3,35726,N,Non-Rural,Medicaid Eligible Population HPSA
MSSA 24/South Lake Tahoe,Unknown,Geographic HPSA,Primary Care,Designated,9,53203,N,Rural,Geographic Population
MSSA 123.1 - Bucks Lake/Cromberg/East Quincy/Greenhorn,Unknown,Geographic HPSA,Primary Care,Designated,13,6328,N,Rural,Geographic Population
MSSA 49/Calexico,Unknown,Geographic HPSA,Primary Care,Designated,13,40948,Y,Non-Rural,Geographic Population
MSSA 143/Big River,Unknown,High Needs Geographic HPSA,Primary Care,Designated,17,6640,N,Rural,Geographic Population
ME - MSSA 107/Soledad,Unknown,HPSA Population,Primary Care,Designated,14,27412,N,Rural,Medicaid Eligible Population HPSA
MSSA 60 - Delano/McFarland,Unknown,High Needs Geographic HPSA,Primary Care,Designated,16,69129,N,Non-Rural,Geographic Population
MSSA 77.1C/Lancaster Central/Palmdale North Central,Unknown,High Needs Geographic HPSA,Primary Care,Designated,10,106575,N,Non-Rural,Geographic Population
MSSA 58.2 - Lost Hills/Wasco,Unknown,High Needs Geographic HPSA,Primary Care,Designated,18,26635,N,Rural,Geographic Population
ME - MSSA 116c - Anaheim West,Unknown,HPSA Population,Primary Care,Designated,12,56521,N,Non-Rural,Medicaid Eligible Population HPSA
MSSA 188.1-Big Bend/Montgomery Creek/Oak Run,Unknown,Geographic HPSA,Primary Care,Designated,14,5037,N,Rural,Geographic Population
MSSA 61/Arvin,Unknown,High Needs Geographic HPSA,Primary Care,Designated,14,42448,N,Rural,Geographic Population
LI-MSSA 36.1/Orland,Unknown,HPSA Population,Primary Care,Designated,14,6040,N,Rural,Low Income Population HPSA
MSSA 104-Big Sur,Unknown,High Needs Geographic HPSA,Primary Care,Designated,14,1957,N,Rural,Geographic Population
LI MSSA 78.2bbb - Compton East,Unknown,HPSA Population,Primary Care,Designated,15,45196,N,Non-Rural,Low Income Population HPSA
MSSA 78.1/Avalon,Unknown,Geographic HPSA,Primary Care,Designated,17,3926,N,Rural,Geographic Population
ME MSSA 161d - Chollas Creek/City Heights/East San Diego/Nor,Unknown,HPSA Population,Primary Care,Designated,10,47435,Y,Non-Rural,Medicaid Eligible Population HPSA
MSSAs 54 & 55 Big Pine/Lone Pine,Unknown,Geographic HPSA,Primary Care,Designated,14,5224,N,Rural,Geographic Population
LI - MSSA 78.2bbbb/Gardena West,Unknown,HPSA Population,Primary Care,Designated,15,29849,N,Non-Rural,Low Income Population HPSA
MSSA 223 &amp; 224/Junction City/Weaverville,Unknown,Geographic HPSA,Primary Care,Designated,13,8401,N,Rural,Geographic Population
LI - MSSA 97.1 &amp; 97.2/Merced/Merced Southwest,Unknown,HPSA Population,Primary Care,Designated,11,47549,N,Unknown,Low Income Population HPSA
MSSA 220/Dairyville/Paynes Creek,Unknown,High Needs Geographic HPSA,Primary Care,Designated,15,4829,N,Rural,Geographic Population
ME - MSSA 219/Paskenta/Rancho Tehama,Unknown,HPSA Population,Primary Care,Designated,10,1425,N,Rural,Medicaid Eligible Population HPSA
LI - MSSA 78.2ooo/Paramount North/Willowbrook,Unknown,HPSA Population,Primary Care,Designated,17,68164,N,Non-Rural,Low Income Population HPSA
LI-MFW/MSSA 186 Anderson,Unknown,HPSA Population,Primary Care,Designated,14,13285,N,Non-Rural,Low Income Migrant Farmworker Population HPSA
MSSA 231/Porterville/Alpaugh,Unknown,High Needs Geographic HPSA,Primary Care,Designated,11,100882,N,Non-Rural,Geographic Population
LI-MSSA 78.2ss/Pomona Central,Unknown,HPSA Population,Primary Care,Designated,10,57709,N,Non-Rural,Low Income Population HPSA
MSSA 94/Los Banos,Unknown,Geographic HPSA,Primary Care,Designated,7,60795,N,Rural,Geographic Population
LI/MFW/Homeless - MSSA 190/Burney,Unknown,HPSA Population,Primary Care,Designated,16,2831,N,Rural,Low Income Homeless Migrant Farmworker Population HPSA
MSSA 214 - Hughson,Unknown,Geographic HPSA,Primary Care,Designated,11,51072,N,Non-Rural,Geographic Population
LI-MSSA 169a/Stockton North Central,Unknown,HPSA Population,Primary Care,Designated,6,48071,N,Non-Rural,Low Income Homeless Migrant Farmworker Population HPSA
MSSA 145.2/Adelanto/Victorville Northwest,Unknown,High Needs Geographic HPSA,Primary Care,Designated,16,56246,N,Unknown,Geographic Population
MSSA 7.4 - Durham,Unknown,Geographic HPSA,Primary Care,Designated,15,6031,N,Non-Rural,Geographic Population
MSSA 142/Argus,Unknown,High Needs Geographic HPSA,Primary Care,Withdrawn,16,2201,N,Rural,Geographic Population
ME MSSA 142 - Argus/Borosalvay/Trona,Unknown,HPSA Population,Primary Care,Designated,10,748,N,Rural,Medicaid Eligible Population HPSA
MSSA 38 Hoopa-Willow Creek,Unknown,High Needs Geographic HPSA,Primary Care,Designated,14,20428,N,Rural,Geographic Population
MSSA 78.2k/South Central Northwest,Unknown,High Needs Geographic HPSA,Primary Care,Designated,18,79290,N,Non-Rural,Geographic Population
MSSA 194/Etna,Unknown,Geographic HPSA,Primary Care,Designated,17,5358,N,Rural,Geographic Population
Low Income - MSSA 130/Idyllwild/Pine Cove,Unknown,HPSA Population,Primary Care,Withdrawn,15,4595,N,Non-Rural,Low Income Population HPSA
MSSA 79.2/Chowchilla,Unknown,High Needs Geographic HPSA,Primary Care,Designated,10,15066,N,Rural,Geographic Population
LI-MFW/MSSA 48 El Centro,Unknown,HPSA Population,Primary Care,Withdrawn,17,88014,Y,Non-Rural,Low Income Migrant Farmworker Population HPSA
MSSA 120/Foresthill,Unknown,Geographic HPSA,Primary Care,Designated,13,6888,N,Rural,Geographic Population
ME MSSA 161l - Lemon Grove South,Unknown,HPSA Population,Primary Care,Designated,10,29369,Y,Non-Rural,Medicaid Eligible Population HPSA
MSSA 22/Georgetown N El Dorado,Unknown,Geographic HPSA,Primary Care,Designated,14,11425,N,Rural,Geographic Population
MSSA 9-Biggs/East Biggs/Gridley,Unknown,Geographic HPSA,Primary Care,Designated,15,16578,N,Rural,Geographic Population
LI - MSSA 42 - Fortuna,Unknown,HPSA Population,Primary Care,Designated,16,10878,N,Rural,Low Income Homeless Migrant Farmworker Population HPSA
Poverty/Homeless/AIDS Population - Guerneville,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,3788,N,Non-Rural,Low Income Homeless Population HPSA
Galt,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,18931,N,Rural,Geographic Population
MSSA 200/Dorris,Unknown,Geographic HPSA,Primary Care,Withdrawn,12,1942,N,Rural,Geographic Population
Point Arena,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,3093,N,Rural,Geographic Population
Mono Hispanic - Pacoima/San Fernando,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,52431,N,Non-Rural,Other Population HPSA
Low Income - Palm Desert (MSSA 129.1A),Metropolitan,HPSA Population,Primary Care,Withdrawn,0,42634,N,Non-Rural,Low Income Population HPSA
Low Income - West Point/Wilseyville,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,4969,N,Rural,Low Income Population HPSA
