County,TotalPop,MalePop,FemalePop,MedianAge,MaleMedianAge,FemaleMedianAge,Under5yoPop,Under18yoPop,Pop21andOlder,Pop55andOlder,Pop60andOlder,Pop65andOlder,PercFemale,PercUnder18yo,num_desig,amer_indian,black,hispanic,asian,multi_race,pac_island,white,poverty,labor_force,unemployed,median_income,TotalDeaths,TotalCases,prop_hpsa,nonwhite_prop,Rating,Deaths,DeathsperThou,unempl_prop,poverty_prop,prop55older,Cases,HospNumber,CasesperThou
Sacramento,1585055,774787,810268,36.9,35.7,38.2,93714,367746,1157501,432089,332185,237649,51.1,23.2,0,7690,151708,379548,267232,81229,18208,661947,203413,734900,34500,79611,1653,58222,0,0.5823823148092653,Better,70,0.044162505402020755,0.046945162607157434,0.12833182444773208,0.2726018970950535,4680,41,2.9525789325922442
Sacramento,1585055,774787,810268,36.9,35.7,38.2,93714,367746,1157501,432089,332185,237649,51.1,23.2,0,7690,151708,379548,267232,81229,18208,661947,203413,734900,34500,79611,1653,58222,0,0.5823823148092653,Worse,103,0.06498197223440196,0.046945162607157434,0.12833182444773208,0.2726018970950535,2248,37,1.4182473163391807
San Bernardino,2181654,1078849,1102805,34.9,33.7,36,135299,552612,1532953,538762,403345,277924,50.5,25.3,191,8121,175551,1217877,173233,48725,6916,558853,285474,999400,51000,74218,1490,65377,0.6345514950166113,0.7438397656090288,As Expected,1182,0.5417907697554241,0.051030618371022615,0.13085209662027067,0.2469511664086056,52777,1406,24.191278727057544
San Bernardino,2181654,1078849,1102805,34.9,33.7,36,135299,552612,1532953,538762,403345,277924,50.5,25.3,191,8121,175551,1217877,173233,48725,6916,558853,285474,999400,51000,74218,1490,65377,0.6345514950166113,0.7438397656090288,Better,46,0.021084919973561343,0.051030618371022615,0.13085209662027067,0.2469511664086056,6748,101,3.0930660865563464
San Bernardino,2181654,1078849,1102805,34.9,33.7,36,135299,552612,1532953,538762,403345,277924,50.5,25.3,191,8121,175551,1217877,173233,48725,6916,558853,285474,999400,51000,74218,1490,65377,0.6345514950166113,0.7438397656090288,Worse,262,0.12009237028419721,0.051030618371022615,0.13085209662027067,0.2469511664086056,5852,71,2.6823685148974126
San Diego,3298634,1642796,1655838,37.1,35.7,38.5,174765,689866,2461162,902436,695087,499874,50.2,20.9,82,13806,154587,1144893,403747,118802,13879,1443449,340522,1594100,68400,90756,2472,93474,0.08942202835332606,0.5624100764134488,As Expected,1940,0.58812223484024,0.04290822407628129,0.10323121631560216,0.27357869954653957,70417,1705,21.347321345744934
San Diego,3298634,1642796,1655838,37.1,35.7,38.5,174765,689866,2461162,902436,695087,499874,50.2,20.9,82,13806,154587,1144893,403747,118802,13879,1443449,340522,1594100,68400,90756,2472,93474,0.08942202835332606,0.5624100764134488,Better,258,0.0782141941179288,0.04290822407628129,0.10323121631560216,0.27357869954653957,16939,151,5.135155946370528
San Diego,3298634,1642796,1655838,37.1,35.7,38.5,174765,689866,2461162,902436,695087,499874,50.2,20.9,82,13806,154587,1144893,403747,118802,13879,1443449,340522,1594100,68400,90756,2472,93474,0.08942202835332606,0.5624100764134488,Worse,274,0.08306468677640502,0.04290822407628129,0.10323121631560216,0.27357869954653957,6118,90,1.854707130284839
San Francisco,873965,446144,427821,38.2,38.1,38.3,34890,113227,739967,242321,190340,142099,NA,NA,0,1690,42618,129499,301553,31667,3205,320040,90898,578400,20600,119776,1070,30931,0,0.6338068458119033,As Expected,560,0.6407579250885332,0.03561549100968188,0.10400645334767411,0.277266252081033,20866,1039,23.875097973030957
San Francisco,873965,446144,427821,38.2,38.1,38.3,34890,113227,739967,242321,190340,142099,NA,NA,0,1690,42618,129499,301553,31667,3205,320040,90898,578400,20600,119776,1070,30931,0,0.6338068458119033,Better,36,0.04119158089854857,0.03561549100968188,0.10400645334767411,0.277266252081033,1655,38,1.8936685107527191
San Francisco,873965,446144,427821,38.2,38.1,38.3,34890,113227,739967,242321,190340,142099,NA,NA,0,1690,42618,129499,301553,31667,3205,320040,90898,578400,20600,119776,1070,30931,0,0.6338068458119033,Worse,474,0.5423558151642228,0.03561549100968188,0.10400645334767411,0.277266252081033,8410,46,9.622810982133151
San Joaquin,779233,388163,391070,35.4,34.3,36.4,50041,205833,538902,196685,150012,106606,50.2,26.4,51,3298,55683,337646,135117,28383,5116,223036,95382,345900,21500,79598,721,28565,0.3090909090909091,0.7137749556294459,As Expected,591,0.7584381051623841,0.062156692685747326,0.12240498028189258,0.25240845806068274,22101,695,28.362505181377074
San Joaquin,779233,388163,391070,35.4,34.3,36.4,50041,205833,538902,196685,150012,106606,50.2,26.4,51,3298,55683,337646,135117,28383,5116,223036,95382,345900,21500,79598,721,28565,0.3090909090909091,0.7137749556294459,Better,81,0.10394836974306786,0.062156692685747326,0.12240498028189258,0.25240845806068274,5286,24,6.783593610640207
San Joaquin,779233,388163,391070,35.4,34.3,36.4,50041,205833,538902,196685,150012,106606,50.2,26.4,51,3298,55683,337646,135117,28383,5116,223036,95382,345900,21500,79598,721,28565,0.3090909090909091,0.7137749556294459,Worse,49,0.06288234712852254,0.062156692685747326,0.12240498028189258,0.25240845806068274,1178,19,1.51174295749795
San Luis Obispo,282424,140271,142153,41.4,40,43.1,12536,50680,215731,100554,82003,61253,50.3,17.9,0,1334,4487,66736,10514,7509,348,190044,35120,138100,5100,79688,222,5414,0,0.32709684729343114,As Expected,222,0.7860521768688213,0.036929761042722664,0.12435203807041895,0.3560391468147183,5414,425,19.169758943999092
San Luis Obispo,282424,140271,142153,41.4,40,43.1,12536,50680,215731,100554,82003,61253,50.3,17.9,0,1334,4487,66736,10514,7509,348,190044,35120,138100,5100,79688,222,5414,0,0.32709684729343114,Better,0,0,0.036929761042722664,0.12435203807041895,0.3560391468147183,0,2,0
San Luis Obispo,282424,140271,142153,41.4,40,43.1,12536,50680,215731,100554,82003,61253,50.3,17.9,0,1334,4487,66736,10514,7509,348,190044,35120,138100,5100,79688,222,5414,0,0.32709684729343114,Worse,0,0,0.036929761042722664,0.12435203807041895,0.3560391468147183,0,4,0
San Mateo,764442,377546,386896,39.9,38.4,41.2,40001,154206,586503,224120,172825,126316,50.6,20.2,17,1036,16216,174620,229299,28715,9240,273955,49900,457100,15200,131151,533,17714,0.4146341463414634,0.6416274877623155,As Expected,479,0.6266008408747819,0.03325311747976373,0.06527637152328103,0.29318117005606703,15200,634,19.883784512101638
San Mateo,764442,377546,386896,39.9,38.4,41.2,40001,154206,586503,224120,172825,126316,50.6,20.2,17,1036,16216,174620,229299,28715,9240,273955,49900,457100,15200,131151,533,17714,0.4146341463414634,0.6416274877623155,Better,30,0.039244311537042706,0.03325311747976373,0.06527637152328103,0.29318117005606703,2060,28,2.6947760588769323
San Mateo,764442,377546,386896,39.9,38.4,41.2,40001,154206,586503,224120,172825,126316,50.6,20.2,17,1036,16216,174620,229299,28715,9240,273955,49900,457100,15200,131151,533,17714,0.4146341463414634,0.6416274877623155,Worse,24,0.031395449229634165,0.03325311747976373,0.06527637152328103,0.29318117005606703,454,34,0.5938972479272463
Santa Barbara,448229,222051,226178,35.7,34.7,36.8,24738,97424,322384,126967,100589,74701,50.5,21.7,23,1829,7579,210360,23839,11134,771,190857,65029,226100,8800,83185,377,9769,0.6388888888888888,0.5741975641915181,As Expected,329,0.7339998081337887,0.038920831490490936,0.14507985873292448,0.28326368887332143,9041,398,20.170493207713022
Santa Barbara,448229,222051,226178,35.7,34.7,36.8,24738,97424,322384,126967,100589,74701,50.5,21.7,23,1829,7579,210360,23839,11134,771,190857,65029,226100,8800,83185,377,9769,0.6388888888888888,0.5741975641915181,Better,0,0,0.038920831490490936,0.14507985873292448,0.28326368887332143,0,3,0
Santa Barbara,448229,222051,226178,35.7,34.7,36.8,24738,97424,322384,126967,100589,74701,50.5,21.7,23,1829,7579,210360,23839,11134,771,190857,65029,226100,8800,83185,377,9769,0.6388888888888888,0.5741975641915181,Worse,48,0.10708811790401782,0.038920831490490936,0.14507985873292448,0.28326368887332143,728,16,1.6241697882109367
Santa Clara,1936259,975313,960946,37.5,36.4,38.7,101857,406542,1459434,499592,375483,267535,49.6,NA,0,3821,45110,465222,750276,61047,7166,544886,128955,1051800,40700,141161,1624,54477,0,0.7185882673753873,As Expected,1337,0.6905067968696337,0.03869556949990492,0.06660007777885087,0.2580192009436754,44762,1186,23.11777504972217
Santa Clara,1936259,975313,960946,37.5,36.4,38.7,101857,406542,1459434,499592,375483,267535,49.6,NA,0,3821,45110,465222,750276,61047,7166,544886,128955,1051800,40700,141161,1624,54477,0,0.7185882673753873,Better,74,0.03821802765022654,0.03869556949990492,0.06660007777885087,0.2580192009436754,5400,51,2.7888830988003153
Santa Clara,1936259,975313,960946,37.5,36.4,38.7,101857,406542,1459434,499592,375483,267535,49.6,NA,0,3821,45110,465222,750276,61047,7166,544886,128955,1051800,40700,141161,1624,54477,0,0.7185882673753873,Worse,213,0.11000594445267911,0.03869556949990492,0.06660007777885087,0.2580192009436754,4315,31,2.2285241798746966
Santa Cruz,270861,134471,136390,40.2,39.1,41.3,11939,51097,203996,86111,68014,49193,50.4,18.9,8,1069,2683,91706,12185,8204,327,150009,27132,135800,6900,90370,176,5853,0.36363636363636365,0.446177190514692,As Expected,176,0.6497797763428473,0.0508100147275405,0.10016945961212578,0.31791583136738033,5853,198,21.60886949394708
Santa Cruz,270861,134471,136390,40.2,39.1,41.3,11939,51097,203996,86111,68014,49193,50.4,18.9,8,1069,2683,91706,12185,8204,327,150009,27132,135800,6900,90370,176,5853,0.36363636363636365,0.446177190514692,Better,0,0,0.0508100147275405,0.10016945961212578,0.31791583136738033,0,4,0
Santa Cruz,270861,134471,136390,40.2,39.1,41.3,11939,51097,203996,86111,68014,49193,50.4,18.9,8,1069,2683,91706,12185,8204,327,150009,27132,135800,6900,90370,176,5853,0.36363636363636365,0.446177190514692,Worse,0,0,0.0508100147275405,0.10016945961212578,0.31791583136738033,0,2,0
Shasta,182155,89654,92501,42.8,41.3,44.5,9592,38643,137656,67271,54393,40779,50.8,21.2,13,4086,1951,20313,5750,7148,282,139925,25141,73000,3700,60187,405,9242,0.1511627906976744,0.23183552469051083,As Expected,160,0.8783728143613955,0.050684931506849315,0.13801981828662402,0.36930635996815897,5313,223,29.16746726688809
Shasta,182155,89654,92501,42.8,41.3,44.5,9592,38643,137656,67271,54393,40779,50.8,21.2,13,4086,1951,20313,5750,7148,282,139925,25141,73000,3700,60187,405,9242,0.1511627906976744,0.23183552469051083,Better,0,0,0.050684931506849315,0.13801981828662402,0.36930635996815897,0,4,0
Shasta,182155,89654,92501,42.8,41.3,44.5,9592,38643,137656,67271,54393,40779,50.8,21.2,13,4086,1951,20313,5750,7148,282,139925,25141,73000,3700,60187,405,9242,0.1511627906976744,0.23183552469051083,Worse,245,1.3450083719908867,0.050684931506849315,0.13801981828662402,0.36930635996815897,3929,44,21.569542422662018
Solano,453491,224784,228707,39,37.6,40.4,25069,98721,337875,136897,105588,75040,50.4,21.8,0,1828,59248,126596,70934,24542,3893,156507,44037,202000,9900,87348,543,13883,0,0.654883999902975,As Expected,486,1.0716860974087687,0.04900990099009901,0.097106668048539,0.3018736865781239,13037,400,28.748089818761564
Solano,453491,224784,228707,39,37.6,40.4,25069,98721,337875,136897,105588,75040,50.4,21.8,0,1828,59248,126596,70934,24542,3893,156507,44037,202000,9900,87348,543,13883,0,0.654883999902975,Better,0,0,0.04900990099009901,0.097106668048539,0.3018736865781239,0,2,0
Solano,453491,224784,228707,39,37.6,40.4,25069,98721,337875,136897,105588,75040,50.4,21.8,0,1828,59248,126596,70934,24542,3893,156507,44037,202000,9900,87348,543,13883,0,0.654883999902975,Worse,57,0.1256915793257198,0.04900990099009901,0.097106668048539,0.3018736865781239,846,28,1.865527651044894
Sonoma,488863,238535,250328,42.6,40.9,44.3,22615,95711,376112,171112,136987,102022,51.2,19.6,0,3319,7938,136073,21614,14723,1572,293978,43661,250100,9600,92999,375,11504,0,0.3986495193950043,As Expected,245,0.5011629024900637,0.03838464614154338,0.08931132034946396,0.3500203533505297,8292,552,16.96180729570452
Sonoma,488863,238535,250328,42.6,40.9,44.3,22615,95711,376112,171112,136987,102022,51.2,19.6,0,3319,7938,136073,21614,14723,1572,293978,43661,250100,9600,92999,375,11504,0,0.3986495193950043,Better,16,0.03272900587690212,0.03838464614154338,0.08931132034946396,0.3500203533505297,1308,12,2.675596230436748
Sonoma,488863,238535,250328,42.6,40.9,44.3,22615,95711,376112,171112,136987,102022,51.2,19.6,0,3319,7938,136073,21614,14723,1572,293978,43661,250100,9600,92999,375,11504,0,0.3986495193950043,Worse,114,0.23319416687292757,0.03838464614154338,0.08931132034946396,0.3500203533505297,1904,26,3.8947516993513522
Stanislaus,552878,272558,280320,35.5,34.4,36.5,35390,144970,384444,143291,109703,78433,50.7,26.2,20,2716,14995,271156,30994,15653,3994,209193,76921,241200,15700,73151,605,20967,0.20618556701030927,0.6216290031435506,As Expected,535,0.9676637522202005,0.06509121061359867,0.1391283429617384,0.2591729097558593,19565,417,35.387553854557424
Stanislaus,552878,272558,280320,35.5,34.4,36.5,35390,144970,384444,143291,109703,78433,50.7,26.2,20,2716,14995,271156,30994,15653,3994,209193,76921,241200,15700,73151,605,20967,0.20618556701030927,0.6216290031435506,Better,0,0,0.06509121061359867,0.1391283429617384,0.2591729097558593,0,21,0
Stanislaus,552878,272558,280320,35.5,34.4,36.5,35390,144970,384444,143291,109703,78433,50.7,26.2,20,2716,14995,271156,30994,15653,3994,209193,76921,241200,15700,73151,605,20967,0.20618556701030927,0.6216290031435506,Worse,70,0.12661021057086735,0.06509121061359867,0.1391283429617384,0.2591729097558593,1402,30,2.5358216460050857
Tulare,473117,234710,238407,32.3,31.4,33.1,33927,142024,309281,106889,81247,57838,50.4,NA,82,3305,6237,317073,16086,7027,440,126312,88367,209400,20600,57398,540,14384,0.47126436781609193,0.7330216415812579,As Expected,482,1.0187754825973279,0.09837631327602674,0.18677620969020348,0.2259250882973979,13193,241,27.885279962461716
Tulare,473117,234710,238407,32.3,31.4,33.1,33927,142024,309281,106889,81247,57838,50.4,NA,82,3305,6237,317073,16086,7027,440,126312,88367,209400,20600,57398,540,14384,0.47126436781609193,0.7330216415812579,Better,0,0,0.09837631327602674,0.18677620969020348,0.2259250882973979,0,4,0
Tulare,473117,234710,238407,32.3,31.4,33.1,33927,142024,309281,106889,81247,57838,50.4,NA,82,3305,6237,317073,16086,7027,440,126312,88367,209400,20600,57398,540,14384,0.47126436781609193,0.7330216415812579,Worse,58,0.12259124064449174,0.09837631327602674,0.18677620969020348,0.2259250882973979,1191,26,2.5173477173722354
Tuolumne,55620,28790,26830,48.9,45.9,51.7,2360,9352,44700,24061,20027,15053,48.2,16.8,3,780,863,6979,711,1507,136,41956,6848,20280,1040,61396,118,1923,0.375,0.24566702624955053,As Expected,94,1.690039554117224,0.05128205128205128,0.12312117943185905,0.43259618842143116,1577,85,28.353110391945346
Tuolumne,55620,28790,26830,48.9,45.9,51.7,2360,9352,44700,24061,20027,15053,48.2,16.8,3,780,863,6979,711,1507,136,41956,6848,20280,1040,61396,118,1923,0.375,0.24566702624955053,Better,0,0,0.05128205128205128,0.12312117943185905,0.43259618842143116,0,2,0
Tuolumne,55620,28790,26830,48.9,45.9,51.7,2360,9352,44700,24061,20027,15053,48.2,16.8,3,780,863,6979,711,1507,136,41956,6848,20280,1040,61396,118,1923,0.375,0.24566702624955053,Worse,24,0.43149946062567424,0.05128205128205128,0.12312117943185905,0.43259618842143116,346,6,6.220783890686803
Ventura,843843,414453,429390,39.5,38.1,40.8,43544,187645,621672,256681,198153,142526,50.9,22.2,0,2418,14826,362700,62245,21220,1490,359527,73968,412100,19100,95819,598,20817,0,0.573940887108147,As Expected,530,0.6280789198938665,0.04634797379276875,0.08765611612586702,0.30418099101373125,17241,683,20.43152576960406
Ventura,843843,414453,429390,39.5,38.1,40.8,43544,187645,621672,256681,198153,142526,50.9,22.2,0,2418,14826,362700,62245,21220,1490,359527,73968,412100,19100,95819,598,20817,0,0.573940887108147,Better,54,0.06399294655522414,0.04634797379276875,0.08765611612586702,0.30418099101373125,3286,36,3.8940893033419726
Ventura,843843,414453,429390,39.5,38.1,40.8,43544,187645,621672,256681,198153,142526,50.9,22.2,0,2418,14826,362700,62245,21220,1490,359527,73968,412100,19100,95819,598,20817,0,0.573940887108147,Worse,14,0.016590763921724774,0.04634797379276875,0.08765611612586702,0.30418099101373125,290,30,0.34366582409287033
